Date,Index Value
01/02/2017,1296.373808
02/02/2017,1327.632897
03/02/2017,1354.859897
04/02/2017,1363.971831
05/02/2017,1382.657625
06/02/2017,1355.856822
07/02/2017,1367.81295
08/02/2017,1412.329384
09/02/2017,1414.387148
10/02/2017,1321.737668
11/02/2017,1333.866652
12/02/2017,1353.750479
13/02/2017,1340.704076
14/02/2017,1337.224564
15/02/2017,1331.280233
16/02/2017,1339.320642
17/02/2017,1372.02716
18/02/2017,1401.930621
19/02/2017,1406.071094
20/02/2017,1398.001999
21/02/2017,1442.128023
22/02/2017,1501.601503
23/02/2017,1507.940047
24/02/2017,1582.354351
25/02/2017,1585.589668
26/02/2017,1534.612641
27/02/2017,1556.74793
28/02/2017,1568.840785
01/03/2017,1557.755871
02/03/2017,1593.102862
03/03/2017,1629.946195
04/03/2017,1661.545275
05/03/2017,1639.451753
06/03/2017,1643.37964
07/03/2017,1651.666247
08/03/2017,1590.736855
09/03/2017,1484.434579
10/03/2017,1547.494227
11/03/2017,1410.745874
12/03/2017,1485.313915
13/03/2017,1538.02959
14/03/2017,1501.348
15/03/2017,1510.45575
16/03/2017,1472.044861
17/03/2017,1267.990613
18/03/2017,1134.905053
19/03/2017,1067.608263
20/03/2017,1080.493789
21/03/2017,1113.640441
22/03/2017,1213.589655
23/03/2017,1116.615472
24/03/2017,1094.848639
25/03/2017,910.9666999
26/03/2017,955.8385852
27/03/2017,963.4955344
28/03/2017,1071.534353
29/03/2017,1068.242734
30/03/2017,1049.274389
31/03/2017,1054.979991
01/04/2017,1134.445787
02/04/2017,1143.543277
03/04/2017,1170.3323
04/04/2017,1265.570215
05/04/2017,1255.639275
06/04/2017,1240.105496
07/04/2017,1337.659275
08/04/2017,1344.382811
09/04/2017,1316.424191
10/04/2017,1351.617486
11/04/2017,1352.539323
12/04/2017,1372.532347
13/04/2017,1341.344649
14/04/2017,1265.623621
15/04/2017,1281.626306
16/04/2017,1277.084698
17/04/2017,1281.420275
18/04/2017,1298.850848
19/04/2017,1298.071304
20/04/2017,1320.448867
21/04/2017,1348.633178
22/04/2017,1368.807114
23/04/2017,1357.826347
24/04/2017,1359.988917
25/04/2017,1364.29056
26/04/2017,1391.095202
27/04/2017,1391.645787
28/04/2017,0
29/04/2017,0
